0.49835	3.3207	1.48558	0.50803	4.45024	1.73761	0.30656	6.29285	0.00292	118.76482	0.00033	0
0.47166	3.05808	1.29405	0.56722	4.5744	1.95532	0.28707	6.42842	0.00247	161.03117	0.00036	0
0.55935	2.72122	1.28144	0.60426	4.20055	1.85613	0.29108	6.57882	0.00204	149.70665	0.00032	0
0.35302	2.18325	1.69624	0.58635	5.28749	2.12639	0.28953	6.5632	0.0018	126.24013	0.00033	0
0.56863	2.62476	1.28521	0.61436	4.16617	1.8534	0.30337	6.51896	0.00204	143.84361	0.00029	0
0.45582	1.78241	1.5487	0.67915	4.65319	2.02444	0.3104	6.45867	0.002	146.04549	0.00036	0
0.37214	2.7465	1.61076	0.53648	5.14987	2.02535	0.2966	6.41083	0.00188	137.24008	0.00032	0
0.4824	3.06899	1.45763	0.5335	4.5232	1.82007	0.29645	6.39086	0.00272	157.67176	0.00036	0
0.37857	1.96502	1.75826	0.60706	5.10595	2.05421	0.30914	6.48497	0.00218	132.23466	0.00034	0
0.47304	3.48737	1.28139	0.53378	4.56776	1.89485	0.31284	5.96988	0.0046	116.87635	0.00035	0
0.54916	2.60711	1.28673	0.61607	4.23937	1.8877	0.3072	6.20409	0.00363	123.51101	0.00035	0
0.49557	1.99962	1.38442	0.67818	4.46268	2.01755	0.31838	6.40042	0.00212	130.25232	0.00036	0
0.73588	1.28786	1.33708	0.85989	3.66224	1.77267	0.32362	6.11795	0.00298	113.37259	0.00032	0
0.4973	3.02309	1.28691	0.57208	4.45494	1.91509	0.30725	6.36985	0.00268	121.5704	0.00035	0
0.57537	1.71161	1.38806	0.73206	4.14168	1.91383	0.30031	6.53703	0.00186	133.85212	0.00033	0
0.43365	1.73142	1.83951	0.63227	4.77071	1.91205	0.31381	6.13383	0.00277	94.77807	0.00039	0
0.58743	2.58931	1.28176	0.61938	4.09893	1.83148	0.31897	5.91957	0.00423	114.20961	0.00028	0
0.50059	2.91063	1.28341	0.58382	4.44027	1.92943	0.32168	6.07917	0.00291	106.57483	0.00032	0
0.47815	3.012	1.28793	0.5729	4.54325	1.95407	0.31253	6.1328	0.00253	105.74101	0.00032	0
0.48127	2.98498	1.28351	0.57648	4.52851	1.95549	0.33157	6.1303	0.00279	84.40329	0.00037	0
0.54625	1.62976	1.54466	0.71118	4.25066	1.87344	0.28811	6.59874	0.00213	139.01049	0.00031	0
0.52967	1.91829	1.49985	0.66523	4.31666	1.88759	0.31514	6.45026	0.00192	106.56154	0.00033	0
0.50561	2.963	1.28602	0.57805	4.41817	1.90948	0.3162	6.19729	0.00309	120.47626	0.00034	0
0.45501	1.27758	1.81425	0.74116	4.65738	1.93628	0.30752	6.29322	0.00242	107.75768	0.00033	0
0.52771	1.94036	1.53045	0.65479	4.32466	1.86869	0.30799	6.48685	0.00212	130.87028	0.00034	0
0.63279	1.92059	1.29736	0.71484	3.94931	1.85649	0.28156	6.2621	0.00239	168.60781	0.00023	1
0.44324	1.62497	2.0119	0.62406	4.71878	1.82297	0.29836	6.36456	0.00171	142.76387	0.00025	1
0.38669	3.21825	1.31936	0.5476	5.05205	2.11066	0.29912	6.44837	0.0019	155.88301	0.00037	1
0.67843	1.9016	1.28049	0.72312	3.81414	1.80754	0.30651	6.04961	0.00214	123.69897	0.00022	1
0.67978	2.11423	1.28824	0.68372	3.81035	1.76867	0.32125	5.94181	0.00252	127.03611	0.00021	1
0.61722	2.13853	1.29118	0.67905	3.99882	1.85022	0.3261	5.78956	0.00341	130.17859	0.00022	1
0.70897	1.67201	1.29091	0.76805	3.73109	1.79318	0.3142	6.04394	0.00209	120.82605	0.00021	1
0.50374	2.75502	1.31679	0.59243	4.42637	1.92395	0.31507	6.04141	0.00287	145.3274	0.00026	1
0.53455	2.4869	1.29571	0.6286	4.2969	1.9264	0.2977	6.10822	0.00347	119.51656	0.00028	1
0.68575	2.05597	1.28874	0.69321	3.79373	1.76929	0.28213	6.30246	0.00182	135.50129	0.00025	1
0.4801	1.62715	1.52394	0.71657	4.53402	2.01225	0.32429	6.2881	0.0016	122.62199	0.00029	1
