id,form_factor,aspect_ratio,rect,narrow_factor,prd,plw,mean_h,mean_s,mean_v,kelas
81,0.5874,1.7361,1.3153,0.7467,4.099,1.9421,178.912899,0.148773998,0.366087157,1
82,0.5092,1.7587,1.3331,0.7369,4.4026,2.0683,184.074438,0.105538943,0.356159389,1
83,0.4715,2.2084,1.5151,0.6169,4.5754,1.9427,189.2509773,0.131274839,0.365268311,1
84,0.4409,1.7949,1.5892,0.6681,4.7314,2.03,188.4400234,0.123625969,0.362769799,1
85,0.6165,1.3473,1.3544,0.8353,4.001,1.9183,184.1690689,0.153961045,0.368008656,1
86,0.4074,1.5654,1.443,0.7508,4.9217,2.2548,181.6449408,0.126820721,0.362503129,1
87,0.5886,1.3956,1.336,0.8264,4.095,1.9714,184.7280478,0.141139178,0.366446764,1
88,0.4797,1.4493,1.4294,0.784,4.5357,2.1041,173.9287746,0.139193241,0.361241861,1
89,0.6066,1.3569,1.3638,0.8295,4.0335,1.9262,175.6348857,0.136509958,0.361632453,1
90,0.6099,1.6935,1.3369,0.7499,4.0229,1.8968,182.4940973,0.113070459,0.358065727,1
91,0.6264,1.6662,1.3257,0.7592,3.9693,1.8833,185.3062482,0.118770599,0.359106332,1
92,0.5797,1.801,1.3473,0.7244,4.1263,1.9219,184.0379215,0.096736404,0.352568678,1
93,0.6147,1.5436,1.3221,0.7899,4.0068,1.9206,186.1072459,0.116351446,0.356786423,1
94,0.6064,1.3564,1.362,0.8302,4.0343,1.9278,174.1247522,0.143633559,0.363202675,1
95,0.6008,1.3672,1.3678,0.8251,4.0532,1.9316,174.0208848,0.143093,0.363129952,1
96,0.4791,1.4476,1.4292,0.7845,4.5389,2.1059,173.0916171,0.14369116,0.362330018,1
97,0.4752,1.4469,1.4289,0.7847,4.5574,2.1148,172.996641,0.14309828,0.362251019,1
98,0.6189,1.3509,1.3552,0.8339,3.9934,1.9137,183.0747065,0.159276869,0.369708539,1
99,0.6139,1.349,1.3545,0.8348,4.0094,1.9221,182.8956138,0.158786648,0.36925264,1
100,0.4266,1.5609,1.4348,0.754,4.8102,2.2106,181.6170629,0.126289393,0.362363327,1
